epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5384,2.49535,27.8708,2.00071,0.35942,0.11451,0.06393,0.03989,1.75626,20.5067,1.43602,0.09109,9e-05,9e-05
2,72.7272,1.93479,10.8646,1.54342,0.12605,0.13187,0.0629,0.03001,2.26269,inf,1.58753,0.08119,0.000189995,0.000189995
3,102.677,1.82691,8.62058,1.40142,0.15392,0.19887,0.1059,0.04875,2.32655,inf,1.68923,0.07129,0.000289968,0.000289968
4,132.798,1.71723,7.89004,1.35741,0.78531,0.06262,0.13057,0.05916,2.26169,27.0833,1.73194,0.0613899,0.000389904,0.000389904
5,161.747,1.70654,7.7196,1.35074,0.36386,0.22642,0.2007,0.0862,2.05654,17.9983,1.61049,0.0514898,0.000489785,0.000489785
6,175.29,1.71837,7.48127,1.30747,0.44728,0.39793,0.36013,0.16755,1.914,12.2029,1.4919,0.0415896,0.000589596,0.000589596
7,185.739,1.67951,7.08664,1.29939,0.51198,0.50898,0.47798,0.21261,1.93218,10.2367,1.44359,0.0316893,0.000689319,0.000689319
8,191.234,1.66732,6.94738,1.30305,0.50674,0.52866,0.50424,0.22459,1.94831,8.03344,1.41157,0.0217889,0.000788939,0.000788939
9,201.7,1.62187,6.99325,1.29367,0.57399,0.51147,0.51526,0.24287,1.86128,8.40268,1.35232,0.0118884,0.000888439,0.000888439
10,205.697,1.6518,7.05381,1.28481,0.5452,0.52851,0.50873,0.21929,2.02253,7.28099,1.51058,0.0019878,0.000987803,0.000987803
11,213.039,1.63745,6.87289,1.26365,0.57118,0.57844,0.54765,0.28278,1.67265,8.10623,1.27484,0.000997261,0.000997261,0.000997261
12,220.448,1.64268,6.8092,1.26603,0.54657,0.4987,0.50426,0.23113,1.85406,8.14764,1.37743,0.000996687,0.000996687,0.000996687
13,233.99,1.62153,6.68842,1.25058,0.55606,0.55808,0.5151,0.22131,2.0573,11.2583,1.48582,0.000996058,0.000996058,0.000996058
14,238.315,1.56933,6.45178,1.24134,0.58969,0.61255,0.58961,0.26289,1.85618,6.45441,1.37422,0.000995374,0.000995374,0.000995374
15,243.058,1.58549,6.39105,1.25139,0.55411,0.55214,0.55396,0.23318,1.98748,7.75287,1.46626,0.000994637,0.000994637,0.000994637
16,248.07,1.60532,6.57391,1.26296,0.61956,0.58089,0.59567,0.30365,1.63049,6.5848,1.24326,0.000993845,0.000993845,0.000993845
