epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0422,2.48677,51.168,1.89962,0.17223,0.10706,0.0662,0.01846,3.07376,19.5168,2.70936,0.040519,1.9e-05,1.9e-05
2,30.8115,2.30082,12.1616,1.71633,0.41569,0.30113,0.254,0.09653,2.25339,12.3023,1.82528,0.030539,3.89994e-05,3.89994e-05
3,36.978,1.95283,9.21344,1.43888,0.41263,0.38378,0.34127,0.11876,2.30094,10.5507,1.86001,0.020559,5.89964e-05,5.89964e-05
4,42.8025,1.83831,8.62127,1.41152,0.46708,0.42729,0.40543,0.1518,2.19294,9.59219,1.77189,0.010579,7.8989e-05,7.8989e-05
5,48.0191,1.8452,8.38375,1.39015,0.49626,0.44134,0.43568,0.15343,2.23305,9.15505,1.79428,0.000598976,9.89756e-05,9.89756e-05
6,53.1421,1.81522,8.02231,1.37213,0.50347,0.468,0.454,0.16842,2.15548,8.69368,1.72509,9.99615e-05,9.99615e-05,9.99615e-05
7,58.1274,1.79855,7.66234,1.32559,0.50137,0.48541,0.46341,0.17019,2.17138,8.70303,1.74451,9.99445e-05,9.99445e-05,9.99445e-05
8,62.7102,1.76563,7.54621,1.34148,0.531,0.48876,0.48834,0.17923,2.19942,8.22812,1.76747,9.99245e-05,9.99245e-05,9.99245e-05
9,67.0791,1.73163,7.4604,1.34251,0.54467,0.51034,0.51246,0.20468,2.08021,7.86516,1.67261,9.99013e-05,9.99013e-05,9.99013e-05
10,71.6064,1.73851,7.45645,1.3442,0.55496,0.5154,0.5238,0.21517,2.04639,7.88322,1.65116,9.98751e-05,9.98751e-05,9.98751e-05
11,75.6309,1.7582,7.41882,1.34691,0.55857,0.53108,0.53554,0.21411,2.08723,7.74988,1.68221,9.98459e-05,9.98459e-05,9.98459e-05
12,79.4825,1.72818,7.10482,1.30693,0.5533,0.55022,0.5427,0.22671,2.02578,7.51227,1.63115,9.98135e-05,9.98135e-05,9.98135e-05
13,83.3656,1.74238,7.25833,1.3005,0.56333,0.55161,0.54486,0.22767,2.02276,7.43955,1.62651,9.97781e-05,9.97781e-05,9.97781e-05
14,87.2651,1.71104,7.00969,1.27311,0.54718,0.55716,0.54033,0.22402,2.0272,7.45673,1.62594,9.97396e-05,9.97396e-05,9.97396e-05
15,91.1192,1.69054,7.05908,1.3083,0.56164,0.57109,0.55554,0.23888,1.97955,7.11966,1.58063,9.9698e-05,9.9698e-05,9.9698e-05
16,94.9925,1.73739,7.04172,1.28469,0.55254,0.5714,0.55704,0.24481,1.94563,7.34912,1.55271,9.96534e-05,9.96534e-05,9.96534e-05
17,98.7761,1.69119,6.8763,1.27944,0.57396,0.55757,0.55926,0.23902,2.01244,7.29275,1.59763,9.96057e-05,9.96057e-05,9.96057e-05
18,102.53,1.73069,7.02865,1.29469,0.59121,0.56811,0.57924,0.25276,1.97514,7.08086,1.56241,9.9555e-05,9.9555e-05,9.9555e-05
19,106.231,1.69001,6.81951,1.27815,0.59297,0.57215,0.58653,0.25589,1.98109,7.02668,1.56743,9.95012e-05,9.95012e-05,9.95012e-05
20,110.028,1.69107,6.74889,1.26769,0.61571,0.54548,0.58413,0.23995,2.08266,7.22766,1.63384,9.94443e-05,9.94443e-05,9.94443e-05
21,113.784,1.72013,6.80407,1.2837,0.60215,0.57566,0.60267,0.28102,1.89173,6.90607,1.50864,9.93844e-05,9.93844e-05,9.93844e-05
22,117.485,1.69839,6.75603,1.26589,0.61409,0.57164,0.60261,0.27316,1.9302,6.87177,1.52441,9.93215e-05,9.93215e-05,9.93215e-05
23,121.189,1.69781,6.6271,1.25681,0.59347,0.57668,0.59601,0.25134,2.06471,6.98952,1.61131,9.92555e-05,9.92555e-05,9.92555e-05
24,124.861,1.67699,6.46715,1.25184,0.60235,0.5761,0.60751,0.27086,1.98264,6.94887,1.55149,9.91864e-05,9.91864e-05,9.91864e-05
25,128.521,1.68618,6.63515,1.26977,0.59949,0.58905,0.61439,0.28156,1.94952,6.73554,1.5285,9.91144e-05,9.91144e-05,9.91144e-05
26,132.301,1.68892,6.51792,1.2536,0.60551,0.57826,0.60784,0.26015,2.06058,6.94878,1.60369,9.90393e-05,9.90393e-05,9.90393e-05
27,136.037,1.69975,6.62128,1.25982,0.60455,0.58803,0.61052,0.25471,2.10903,6.85746,1.63187,9.89611e-05,9.89611e-05,9.89611e-05
28,139.757,1.67086,6.39703,1.24666,0.61222,0.60402,0.62311,0.27703,1.99425,6.694,1.55336,9.888e-05,9.888e-05,9.888e-05
29,143.519,1.70194,6.64976,1.25336,0.64331,0.58827,0.62991,0.29119,1.92566,6.61678,1.51174,9.87958e-05,9.87958e-05,9.87958e-05
30,147.23,1.66304,6.44123,1.23996,0.62921,0.59297,0.62597,0.27658,1.99932,6.59189,1.55222,9.87087e-05,9.87087e-05,9.87087e-05
31,150.86,1.66868,6.43162,1.25515,0.63971,0.58855,0.62474,0.26743,2.05748,6.66222,1.58402,9.86185e-05,9.86185e-05,9.86185e-05
32,154.863,1.66008,6.32026,1.23672,0.63165,0.61134,0.63426,0.29605,1.91407,6.47873,1.49799,9.85253e-05,9.85253e-05,9.85253e-05
33,158.942,1.69054,6.49392,1.26425,0.6314,0.61779,0.64235,0.31109,1.84992,6.26337,1.46072,9.84292e-05,9.84292e-05,9.84292e-05
34,163.084,1.65139,6.26883,1.23634,0.62872,0.61326,0.63454,0.28435,1.99261,6.47893,1.54876,9.833e-05,9.833e-05,9.833e-05
35,167.191,1.67154,6.31178,1.24559,0.62965,0.61683,0.63483,0.27842,2.03719,6.45529,1.57239,9.82279e-05,9.82279e-05,9.82279e-05
36,171.407,1.69706,6.35244,1.25945,0.63596,0.61771,0.6418,0.30004,1.92876,6.23686,1.5031,9.81228e-05,9.81228e-05,9.81228e-05
37,175.538,1.6929,6.32523,1.24281,0.63354,0.62791,0.64324,0.30129,1.92611,6.26921,1.50562,9.80147e-05,9.80147e-05,9.80147e-05
38,179.641,1.66272,6.16306,1.24174,0.64285,0.62761,0.64704,0.30006,1.93986,6.17115,1.50782,9.79036e-05,9.79036e-05,9.79036e-05
39,183.774,1.68395,6.31196,1.254,0.63467,0.6282,0.64088,0.28286,2.00848,6.47455,1.54951,9.77897e-05,9.77897e-05,9.77897e-05
40,187.823,1.67618,6.38167,1.26135,0.65019,0.61788,0.64014,0.27765,2.04885,6.30383,1.57194,9.76727e-05,9.76727e-05,9.76727e-05
41,191.882,1.67623,6.30344,1.26304,0.64471,0.61469,0.63882,0.27371,2.06597,6.40301,1.58864,9.75528e-05,9.75528e-05,9.75528e-05
42,195.962,1.66393,6.12944,1.23186,0.64991,0.61298,0.64217,0.27379,2.07669,6.25931,1.59378,9.743e-05,9.743e-05,9.743e-05
43,200.026,1.6472,6.04189,1.21954,0.64461,0.62767,0.65052,0.29146,1.9804,6.18045,1.53096,9.73043e-05,9.73043e-05,9.73043e-05
44,204.03,1.6517,6.02388,1.20933,0.63958,0.62664,0.65077,0.29403,1.96798,6.0315,1.5208,9.71756e-05,9.71756e-05,9.71756e-05
45,208.004,1.63939,5.973,1.21231,0.65464,0.62239,0.6529,0.29205,1.97283,6.04465,1.52258,9.7044e-05,9.7044e-05,9.7044e-05
46,212.006,1.66763,6.04512,1.23825,0.63183,0.63979,0.65243,0.29229,1.98178,6.02168,1.52934,9.69096e-05,9.69096e-05,9.69096e-05
47,215.962,1.63819,5.86622,1.21229,0.63067,0.64229,0.65255,0.30233,1.92555,5.94768,1.49279,9.67722e-05,9.67722e-05,9.67722e-05
48,220.009,1.62725,5.92771,1.22497,0.66164,0.62103,0.6543,0.30777,1.89156,5.93786,1.46962,9.6632e-05,9.6632e-05,9.6632e-05
49,223.894,1.65887,5.93615,1.22638,0.66164,0.62646,0.65681,0.30274,1.91864,5.9616,1.48125,9.64888e-05,9.64888e-05,9.64888e-05
50,227.842,1.67815,6.08421,1.22978,0.63803,0.64439,0.65566,0.30383,1.9151,5.89571,1.48011,9.63428e-05,9.63428e-05,9.63428e-05
51,231.774,1.61154,5.85434,1.22626,0.65465,0.63225,0.65739,0.29715,1.95439,5.9509,1.50723,9.6194e-05,9.6194e-05,9.6194e-05
52,235.716,1.66806,6.01709,1.23585,0.65594,0.63421,0.66085,0.30369,1.92669,5.923,1.49145,9.60423e-05,9.60423e-05,9.60423e-05
53,239.568,1.63251,5.83015,1.22344,0.64408,0.64714,0.65883,0.30393,1.94041,5.8427,1.49397,9.58877e-05,9.58877e-05,9.58877e-05
54,243.595,1.63802,5.82496,1.22277,0.65474,0.6405,0.66251,0.29675,1.98556,5.93244,1.51783,9.57304e-05,9.57304e-05,9.57304e-05
55,247.547,1.65911,5.88061,1.21469,0.64741,0.64593,0.66478,0.31173,1.91415,5.83501,1.47661,9.55702e-05,9.55702e-05,9.55702e-05
56,251.456,1.62772,5.76551,1.20415,0.64042,0.65678,0.66532,0.32365,1.85211,5.70366,1.44064,9.54072e-05,9.54072e-05,9.54072e-05
57,255.378,1.63958,5.75704,1.21533,0.66896,0.63402,0.66348,0.29811,1.97286,5.89279,1.50808,9.52414e-05,9.52414e-05,9.52414e-05
58,259.231,1.61688,5.71846,1.22374,0.65165,0.64762,0.66628,0.31905,1.86833,5.6872,1.4475,9.50728e-05,9.50728e-05,9.50728e-05
59,263.195,1.65907,5.93663,1.22659,0.64231,0.64585,0.66131,0.31304,1.8906,5.74304,1.46659,9.49014e-05,9.49014e-05,9.49014e-05
60,267.248,1.60876,5.67703,1.20014,0.66362,0.63667,0.65953,0.27618,2.09048,6.0431,1.59327,9.47272e-05,9.47272e-05,9.47272e-05
61,271.25,1.6401,5.84272,1.23896,0.65584,0.65298,0.67053,0.30155,1.97445,5.76221,1.51064,9.45503e-05,9.45503e-05,9.45503e-05
62,275.185,1.60808,5.65284,1.21887,0.65434,0.65338,0.67325,0.33032,1.8269,5.59451,1.42166,9.43707e-05,9.43707e-05,9.43707e-05
63,279.089,1.61126,5.6595,1.21724,0.66646,0.64761,0.67351,0.32019,1.87228,5.6269,1.44566,9.41883e-05,9.41883e-05,9.41883e-05
64,282.991,1.62403,5.72265,1.2213,0.65728,0.65005,0.67287,0.32041,1.87262,5.60574,1.44696,9.40032e-05,9.40032e-05,9.40032e-05
65,286.897,1.63576,5.81692,1.22372,0.65707,0.64428,0.66877,0.31382,1.90268,5.67916,1.47126,9.38153e-05,9.38153e-05,9.38153e-05
66,290.852,1.6338,5.73804,1.21394,0.6591,0.65418,0.67345,0.31047,1.92614,5.70979,1.48401,9.36248e-05,9.36248e-05,9.36248e-05
67,294.743,1.63763,5.79081,1.21117,0.65595,0.66024,0.67826,0.34971,1.72198,5.44678,1.36307,9.34316e-05,9.34316e-05,9.34316e-05
68,298.435,1.64655,5.8491,1.22416,0.65083,0.66095,0.6759,0.34656,1.73649,5.46537,1.36886,9.32357e-05,9.32357e-05,9.32357e-05
69,301.986,1.59344,5.55931,1.19348,0.65927,0.65011,0.6702,0.30397,1.95985,5.7695,1.50023,9.30371e-05,9.30371e-05,9.30371e-05
70,305.48,1.63701,5.80657,1.22127,0.6563,0.6564,0.67326,0.31126,1.92616,5.64562,1.47881,9.28359e-05,9.28359e-05,9.28359e-05
71,308.962,1.62389,5.70311,1.22869,0.66155,0.66012,0.6773,0.32095,1.87798,5.58353,1.4537,9.2632e-05,9.2632e-05,9.2632e-05
72,312.437,1.62819,5.66061,1.21755,0.6723,0.65483,0.67855,0.31951,1.8854,5.58025,1.46006,9.24255e-05,9.24255e-05,9.24255e-05
73,316.084,1.65574,5.72897,1.21493,0.65895,0.65794,0.67991,0.33626,1.80169,5.47078,1.41138,9.22164e-05,9.22164e-05,9.22164e-05
